Date,Research Firm,Action,From,To,
20-Feb-14,Barclays,Downgrade,Overweight,Equal Weight,
6-Jan-14,Standpoint Research,Downgrade,Hold,Sell,
3-Dec-13,UBS,Upgrade,Neutral,Buy,
29-Oct-13,Robert W. Baird,Upgrade,Neutral,Outperform,
2-Aug-13,Standpoint Research,Downgrade,Buy,Hold,
19-Apr-13,Standpoint Research,Initiated,,Buy,
28-Jan-13,Robert W. Baird,Downgrade,Outperform,Neutral,
9-Aug-12,Stifel Nicolaus,Initiated,,Buy,
11-Jul-12,UBS,Initiated,,Buy,
9-Apr-12,BTIG Research,Downgrade,Buy,Neutral,
3-Apr-12,Auriga,Initiated,,Buy,
9-Feb-12,Mizuho,Initiated,,Buy,
20-Jan-12,FBR Capital,Initiated,,Outperform,
14-Oct-11,ISI Group,Initiated,,Buy,
15-Aug-11,Hilliard Lyons,Initiated,,Buy,
16-Mar-11,JMP Securities,Downgrade,Mkt Outperform,Mkt Perform,
5-Jan-11,Wedbush,Initiated,,Outperform,
4-Jan-11,Brigantine,Initiated,,Buy,
4-Nov-10,Robert W. Baird,Initiated,,Outperform,
5-Oct-10,Jefferies,Initiated,,Buy,
4-Oct-10,Ticonderoga,Initiated,,Buy,
18-May-10,Sterne Agee,Initiated,,Buy,
13-Apr-10,Rodman & Renshaw,Initiated,,Mkt Outperform,
26-Mar-10,William Blair,Initiated,,Outperform,
17-Nov-09,Needham,Downgrade,Strong Buy,Buy,
2-Oct-09,UBS,Upgrade,Neutral,Buy,
10-Sep-09,JMP Securities,Upgrade,Mkt Perform,Mkt Outperform,
3-Sep-09,William Blair,Initiated,,Outperform,
22-Jul-09,Canaccord Adams,Upgrade,Hold,Buy,
11-May-09,Susquehanna Financial,Initiated,,Positive,
23-Apr-09,RBC Capital Mkts,Upgrade,Underperform,Outperform,
23-Apr-09,Morgan Keegan,Upgrade,Mkt Perform,Outperform,
23-Apr-09,Collins Stewart,Downgrade,Buy,Hold,
13-Feb-09,Caris & Company,Initiated,,Buy,
15-Jan-09,AmTech Research,Upgrade,Neutral,Buy,
15-Jan-09,FTN Midwest,Downgrade,Buy,Neutral,
15-Jan-09,RBC Capital Mkts,Downgrade,Sector Perform,Underperform,
7-Jan-09,Collins Stewart,Initiated,,Buy,
6-Jan-09,Oppenheimer,Upgrade,Perform,Outperform,
18-Dec-08,Canaccord Adams,Initiated,,Hold,
17-Dec-08,Oppenheimer,Downgrade,Outperform,Perform,
22-Oct-08,UBS,Downgrade,Buy,Neutral,
29-Sep-08,RBC Capital Mkts,Downgrade,Outperform,Sector Perform,
10-Sep-08,JMP Securities,Initiated,,Mkt Perform,
8-Aug-08,Credit Suisse,Initiated,,Outperform,
5-Aug-08,UBS,Initiated,,Buy,
22-May-08,Oppenheimer,Initiated,,Outperform,
5-May-08,AmTech Research,Upgrade,Neutral,Buy,
24-Apr-08,Morgan Keegan,Upgrade,Underperform,Mkt Perform,
22-Apr-08,Lehman Brothers,Initiated,,Overweight,
22-Apr-08,AmTech Research,Downgrade,Buy,Neutral,
8-Apr-08,Morgan Keegan,Downgrade,Mkt Perform,Underperform,
7-Apr-08,Thomas Weisel,Upgrade,Market Weight,Overweight,
23-Jan-08,Caris & Company,Downgrade,Buy,Above Average,
23-Jan-08,Needham & Co,Upgrade,Buy,Strong Buy,
3-Jan-08,Needham & Co,Initiated,,Buy,
23-Oct-07,Caris & Company,Upgrade,Above Average,Buy,
17-Oct-07,Soleil,Initiated,,Buy,
4-Oct-07,BMO Capital Markets,Initiated,,Outperform,
12-Sep-07,Morgan Keegan,Initiated,,Mkt Perform,
2-Aug-07,Banc of America Sec,Initiated,,Buy,
1-Aug-07,Citigroup,Upgrade,Hold,Buy,
26-Jun-07,RBC Capital Mkts,Initiated,,Outperform,
26-Apr-07,Citigroup,Downgrade,Buy,Hold,
9-Mar-07,WR Hambrecht,Initiated,,Buy,
5-Mar-07,Prudential,Upgrade,Neutral,Overweight,
