Date,Open,High,Low,Close,Volume,Adj Close
2014-03-24,1184.19,1184.90,1145.95,1157.93,3037100,1157.93
2014-03-21,1206.31,1209.63,1182.45,1183.04,3208500,1183.04
2014-03-20,1199.95,1209.61,1195.36,1197.16,1684700,1197.16
2014-03-19,1211.80,1211.99,1194.41,1199.25,1609400,1199.25
2014-03-18,1194.67,1211.53,1193.06,1211.26,1815000,1211.26
2014-03-17,1179.25,1197.07,1178.11,1192.10,2162100,1192.10
2014-03-14,1181.99,1190.87,1172.53,1172.80,2293900,1172.80
2014-03-13,1207.95,1210.50,1184.76,1189.06,2339700,1189.06
2014-03-12,1196.40,1207.85,1184.19,1207.30,1964300,1207.30
2014-03-11,1213.77,1214.32,1196.64,1199.99,1713000,1199.99
2014-03-10,1215.69,1217.64,1204.09,1211.57,1214600,1211.57
2014-03-07,1226.80,1226.99,1211.44,1214.79,1515100,1214.79
2014-03-06,1222.28,1226.15,1218.60,1219.61,1268100,1219.61
2014-03-05,1215.05,1223.08,1211.41,1218.26,1235300,1218.26
2014-03-04,1215.00,1216.00,1209.50,1214.91,1467700,1214.91
2014-03-03,1206.75,1207.84,1192.14,1202.69,2104800,1202.69
2014-02-28,1220.34,1224.19,1206.22,1215.65,2313600,1215.65
2014-02-27,1218.39,1224.23,1217.01,1219.21,1260000,1219.21
2014-02-26,1224.00,1228.88,1213.76,1220.17,1982200,1220.17
2014-02-25,1215.94,1224.50,1210.42,1220.00,1438700,1220.00
2014-02-24,1205.36,1220.16,1205.10,1212.51,1674300,1212.51
2014-02-21,1207.81,1209.87,1202.84,1203.79,1862300,1203.79
2014-02-20,1203.14,1206.89,1200.22,1204.11,1700800,1204.11
2014-02-19,1205.30,1209.22,1197.50,1202.34,2103600,1202.34
2014-02-18,1201.41,1212.87,1200.00,1210.88,2108900,1210.88
2014-02-14,1195.61,1204.39,1192.80,1202.80,2186700,1202.80
2014-02-13,1180.75,1199.90,1179.66,1199.90,1836400,1199.90
2014-02-12,1189.00,1190.00,1181.38,1186.69,1724500,1186.69
2014-02-11,1180.17,1191.87,1172.21,1190.18,2050800,1190.18
2014-02-10,1171.80,1182.40,1169.02,1172.93,1945200,1172.93
2014-02-07,1167.63,1177.90,1160.56,1177.44,2636200,1177.44
2014-02-06,1151.13,1160.16,1147.55,1159.96,1946600,1159.96
2014-02-05,1143.38,1150.77,1128.02,1143.20,2394500,1143.20
2014-02-04,1137.99,1155.00,1137.01,1138.16,2811900,1138.16
2014-02-03,1179.20,1181.72,1132.01,1133.43,4569100,1133.43
2014-01-31,1171.35,1186.54,1151.13,1180.97,5566300,1180.97
2014-01-30,1145.00,1152.49,1127.25,1135.39,5091400,1135.39
2014-01-29,1119.12,1121.75,1099.42,1106.92,2379900,1106.92
