Date,Research Firm,Action,From,To,
19-Sep-13,CRT Capital,Initiated,,Buy,
26-Jun-13,Janney,Initiated,,Buy,
2-Apr-13,UBS,Initiated,,Buy,
19-Oct-12,Oppenheimer,Downgrade,Outperform,Perform,
21-Sep-12,Cantor Fitzgerald,Initiated,,Buy,
7-Dec-11,Canaccord Genuity,Initiated,,Buy,
5-Oct-11,Stifel Nicolaus,Downgrade,Buy,Hold,
15-Aug-11,Hilliard Lyons,Initiated,,Buy,
6-Jul-11,Collins Stewart,Initiated,,Buy,
19-Jan-11,ISI Group,Initiated,,Hold,
5-Jan-11,Canaccord Genuity,Initiated,,Buy,
13-Dec-10,Wedbush,Upgrade,Neutral,Outperform,
15-Oct-10,Caris & Company,Upgrade,Average,Buy,
12-Oct-10,Wedbush,Upgrade,Underperform,Neutral,
17-Aug-10,Wedbush,Initiated,,Underperform,
21-May-10,MKM Partners,Upgrade,Neutral,Buy,
14-May-10,Caris & Company,Initiated,,Average,
25-Feb-10,MKM Partners,Initiated,,Neutral,
22-Jan-10,Collins Stewart,Downgrade,Buy,Hold,
16-Oct-09,Benchmark,Upgrade,Hold,Buy,
25-Aug-09,ThinkEquity,Upgrade,Source of Funds,Buy,
30-Jul-09,UBS,Initiated,,Buy,
8-Jun-09,Benchmark,Downgrade,Buy,Hold,
14-Apr-09,Benchmark,Initiated,,Buy,
31-Mar-09,Merriman Curhan Ford,Upgrade,Neutral,Buy,
26-Mar-09,Canaccord Adams,Upgrade,Hold,Buy,
17-Feb-09,ThinkEquity,Downgrade,Accumulate,Source of Funds,
21-Jan-09,JMP Securities,Initiated,,Mkt Outperform,
6-Jan-09,Merriman Curhan Ford,Upgrade,Sell,Neutral,
21-Nov-08,Merriman Curhan Ford,Initiated,,Sell,
28-Oct-08,Credit Suisse,Initiated,,Outperform,
9-Oct-08,Soleil,Downgrade,Buy,Hold,
2-Sep-08,Stanford Research,Upgrade,Hold,Buy,
25-Jul-08,Soleil,Upgrade,Hold,Buy,
11-Jul-08,Deutsche Securities,Initiated,,Buy,
7-May-08,Kaufman Bros,Initiated,,Buy,
18-Apr-08,Collins Stewart,Upgrade,Hold,Buy,
18-Apr-08,Jefferies & Co,Upgrade,Hold,Buy,
15-Apr-08,Collins Stewart,Initiated,,Hold,
1-Feb-08,Jefferies & Co,Downgrade,Buy,Hold,
29-Jan-08,Canaccord Adams,Initiated,,Buy,
24-Jan-08,Stanford Research,Downgrade,Buy,Hold,
22-Jun-07,Bernstein,Initiated,,Outperform,
28-Mar-07,Nollenberger Capital,Initiated,,Buy,
28-Mar-07,AG Edwards,Initiated,,Buy,
7-Mar-07,UBS,Upgrade,Neutral,Buy,
22-Dec-06,Cantor Fitzgerald,Initiated,,Buy,
19-Jul-06,Am Tech/JSA Research,Upgrade,Hold,Buy,
29-Jun-06,Global Crown Capital,Initiated,,Overweight,
12-Apr-06,JMP Securities,Downgrade,Strong Buy,Mkt Outperform,
24-Mar-06,Stifel Nicolaus,Upgrade,Hold,Buy,
8-Feb-06,Am Tech/JSA Research,Downgrade,Buy,Hold,
6-Feb-06,Stifel Nicolaus,Upgrade,Sell,Hold,
1-Feb-06,UBS,Downgrade,Buy,Neutral,
23-Jan-06,Stanford Research,Upgrade,Hold,Buy,
18-Jan-06,Friedman Billings,Initiated,,Outperform,
18-Jan-06,Stifel Nicolaus,Downgrade,Hold,Sell,
12-Jan-06,Oppenheimer,Initiated,,Buy,
5-Jan-06,Caris & Company,Upgrade,Above Average,Buy,
4-Jan-06,Bear Stearns,Upgrade,Peer Perform,Outperform,
21-Dec-05,WR Hambrecht,Initiated,,Buy,
29-Nov-05,Stanford Research,Downgrade,Buy,Hold,
21-Oct-05,Needham & Co,Upgrade,Hold,Buy,
18-Oct-05,Stanford Research,Upgrade,Hold,Buy,
22-Jul-05,Needham & Co,Downgrade,Buy,Hold,
13-Jul-05,Legg Mason,Initiated,,Hold,
12-Jul-05,Harris Nesbitt,Initiated,,Neutral,
16-Jun-05,Stanford Research,Initiated,,Hold,
9-Jun-05,Smith Barney Citigroup,Initiated,,Buy,
24-May-05,JMP Securities,Initiated,,Strong Buy,
12-May-05,Needham & Co,Initiated,,Buy,
3-May-05,UBS,Upgrade,Neutral,Buy,
22-Apr-05,Caris & Company,Upgrade,Average,Above Average,
20-Apr-05,RBC Capital Mkts,Upgrade,Sector Perform,Outperform,
5-Apr-05,Lehman Brothers,Upgrade,Equal-weight,Overweight,
1-Apr-05,William Blair,Initiated,,Outperform,
14-Mar-05,Caris & Company,Downgrade,Above Average,Average,
8-Mar-05,UBS,Upgrade,Reduce,Neutral,
22-Feb-05,Caris & Company,Downgrade,Buy,Above Average,
18-Feb-05,Pacific Growth Equities,Upgrade,Equal Weight,Over Weight,
14-Feb-05,CIBC Wrld Mkts,Upgrade,Sector Perform,Sector Outperform,
2-Feb-05,Jefferies & Co,Upgrade,Hold,Buy,
1-Feb-05,Pacific Growth Equities,Initiated,,Equal Weight,
11-Jan-05,RBC Capital Mkts,Initiated,,Outperform,
5-Jan-05,Merrill Lynch,Initiated,,Neutral,
21-Dec-04,Caris & Company,Upgrade,Above Average,Buy,
16-Dec-04,Banc of America Sec,Initiated,,Neutral,
29-Nov-04,AmTech Research,Upgrade,Hold,Buy,
24-Nov-04,Goldman Sachs,Initiated,,Outperform,
23-Nov-04,First Albany,Initiated,,Buy,
5-Nov-04,UBS,Initiated,,Reduce,
4-Nov-04,UBS,Initiated,,Reduce,
22-Oct-04,AmTech Research,Upgrade,Sell,Hold,
15-Oct-04,Schwab Soundview,Initiated,,Outperform,
11-Oct-04,AmTech Research,Downgrade,Hold,Sell,
6-Oct-04,Lehman Brothers,Initiated,,Equal-weight,
4-Oct-04,Jefferies & Co,Downgrade,Buy,Hold,
29-Sep-04,Smith Barney Citigroup,Initiated,,Hold,
28-Sep-04,WR Hambrecht,Initiated,,Buy,
28-Sep-04,Thomas Weisel,Initiated,,Outperform,
28-Sep-04,JP Morgan,Initiated,,Neutral,
28-Sep-04,CSFB,Initiated,,Outperform,
23-Sep-04,RBC Capital Mkts,Initiated,,Sector Perform,
20-Sep-04,Caris & Company,Upgrade,Average,Above Average,
14-Sep-04,Bear Stearns,Initiated,,Peer Perform,
13-Sep-04,CIBC Wrld Mkts,Initiated,,Sector Perform,
2-Sep-04,Caris & Company,Initiated,,Average,
26-Aug-04,Janco Partners,Initiated,,Sell,
20-Aug-04,AmTech Research,Initiated,,Hold,
20-Aug-04,Jefferies & Co,Initiated,,Buy,
