Date,Research Firm,Action,From,To,
23-Jan-14,Deutsche Bank,Upgrade,Hold,Buy,
10-Jan-14,Barclays,Upgrade,Equal Weight,Overweight,
13-Aug-13,Stifel,Downgrade,Buy,Hold,
30-Apr-13,Standpoint Research,Downgrade,Buy,Hold,
4-Jan-13,Argus,Downgrade,Buy,Hold,
14-Dec-12,BMO Capital Markets,Initiated,,Market Perform,
12-Dec-12,Standpoint Research,Upgrade,Hold,Buy,
20-Aug-12,Longbow,Initiated,,Buy,
20-Jul-12,Griffin Securities,Initiated,,Buy,
10-Apr-12,MKM Partners,Initiated,,Neutral,
16-Mar-12,Argus,Upgrade,Hold,Buy,
6-Dec-11,Barclays Capital,Initiated,,Equal Weight,
9-Sep-11,Standpoint Research,Downgrade,Buy,Hold,
17-Feb-11,Collins Stewart,Initiated,,Buy,
7-Jan-11,Standpoint Research,Downgrade,Buy,Hold,
25-Oct-10,FBR Capital,Downgrade,Outperform,Mkt Perform,
13-Sep-10,Standpoint Research,Initiated,,Buy,
23-Jul-10,The Benchmark Company,Upgrade,Sell,Hold,
27-May-10,FBR Capital,Upgrade,Mkt Perform,Outperform,
16-Apr-10,Janney Mntgmy Scott,Initiated,,Neutral,
8-Apr-10,Soleil,Initiated,,Buy,
17-Feb-10,Citigroup,Initiated,,Buy,
13-Nov-09,UBS,Initiated,,Buy,
27-Oct-09,Argus,Upgrade,Sell,Hold,
14-Sep-09,Auriga U.S.A,Upgrade,Hold,Buy,
18-Aug-09,AmTech Research,Upgrade,Neutral,Buy,
24-Jul-09,FBR Capital,Downgrade,Outperform,Mkt Perform,
13-Apr-09,AmTech Research,Initiated,,Neutral,
7-Apr-09,RBC Capital Mkts,Upgrade,Sector Perform,Outperform,
31-Mar-09,Davenport,Upgrade,Neutral,Buy,
27-Mar-09,Auriga U.S.A,Initiated,,Hold,
23-Jan-09,Davenport,Downgrade,Buy,Neutral,
21-Nov-08,Oppenheimer,Upgrade,Perform,Outperform,
18-Nov-08,Caris & Company,Initiated,,Average,
16-Oct-08,Canaccord Adams,Downgrade,Buy,Hold,
28-Jul-08,Edward Jones,Upgrade,Hold,Buy,
28-Jul-08,Collins Stewart,Initiated,,Buy,
11-Jul-08,Credit Suisse,Initiated,,Outperform,
6-Mar-08,Cross Research,Initiated,,Hold,
5-Mar-08,Jefferies & Co,Initiated,,Buy,
4-Mar-08,AmTech Research,Initiated,,Buy,
11-Feb-08,RBC Capital Mkts,Downgrade,Outperform,Sector Perform,
31-Jan-08,Stanford Research,Initiated,,Buy,
22-Jan-08,DA Davidson,Upgrade,Neutral,Buy,
6-Sep-07,Deutsche Securities,Initiated,,Buy,
7-May-07,Davenport,Downgrade,Buy,Neutral,
27-Apr-07,CIBC Wrld Mkts,Upgrade,Sector Underperform,Sector Perform,
2-Feb-07,Banc of America Sec,Upgrade,Neutral,Buy,
24-Jan-07,DA Davidson,Downgrade,Buy,Neutral,
20-Nov-06,Credit Suisse,Upgrade,Neutral,Outperform,
1-Aug-06,Prudential,Initiated,,Overweight,
28-Jul-06,Canaccord Adams,Upgrade,Hold,Buy,
20-Jun-06,DA Davidson,Initiated,,Buy,
30-May-06,Caris & Company,Downgrade,Above Average,Average,
28-Apr-06,Caris & Company,Downgrade,Buy,Above Average,
28-Apr-06,Lehman Brothers,Downgrade,Overweight,Equal-weight,
28-Apr-06,Canaccord Adams,Downgrade,Buy,Hold,
28-Apr-06,Morgan Stanley,Downgrade,Overweight,Equal-weight,
28-Apr-06,CIBC Wrld Mkts,Downgrade,Sector Outperform,Sector Underperform,
25-Apr-06,Citigroup,Initiated,,Hold,
15-Mar-06,RBC Capital Mkts,Initiated,,Outperform,
6-Jan-06,CSFB,Downgrade,Outperform,Neutral,
23-Dec-05,Soleil,Initiated,,Buy,
28-Oct-05,CSFB,Upgrade,Neutral,Outperform,
10-May-05,Banc of America Sec,Initiated,,Buy,
4-May-05,CSFB,Initiated,,Neutral,
10-Sep-04,AG Edwards,Initiated,,Buy,
3-Aug-04,Caris & Company,Initiated,,Buy,
24-Jun-04,Banc of America Sec,Upgrade,Neutral,Buy,
10-Jun-04,Schwab Soundview,Initiated,,Neutral,
9-Mar-04,Banc of America Sec,Initiated,,Neutral,
5-Jan-04,SG Cowen,Upgrade,Outperform,Strong Buy,
19-Dec-03,JP Morgan,Initiated,,Overweight,
8-Dec-03,Soundview Technology,Upgrade,Neutral,Outperform,
31-Oct-03,Oppenheimer,Initiated,,Buy,
24-Oct-03,RBC Capital Mkts,Downgrade,Outperform,Sector Perform,
26-Sep-03,Prudential,Initiated,,Overweight,
17-Sep-03,Wachovia,Initiated,,Outperform,
25-Aug-03,Smith Barney Citigroup,Initiated,,Outperform,
2-Jul-03,Merrill Lynch,Upgrade,Neutral,Buy,
21-May-03,Fulcrum,Upgrade,Neutral,Buy,
30-Apr-03,CSFB,Initiated,,Neutral,
15-Apr-03,Fulcrum,Initiated,,Neutral,
11-Apr-03,First Albany,Downgrade,Strong Buy,Buy,
9-Apr-03,SG Cowen,Upgrade,Mkt Perform,Outperform,
1-Apr-03,UBS Warburg,Initiated,,Buy,
26-Feb-03,Deutsche Securities,Upgrade,Hold,Buy,
14-Feb-03,Bear Stearns,Initiated,,Outperform,
22-Jan-03,USB Piper Jaffray,Initiated,,Outperform,
12-Dec-02,Wachovia Sec,Initiated,,Buy,
22-Nov-02,Investec,Initiated,,Hold,
19-Nov-02,Raymond James,Downgrade,Outperform,Mkt Perform,
11-Oct-02,Wells Fargo Sec,Initiated,,Buy,
30-Aug-02,Raymond James,Initiated,,,
22-Aug-02,Salomon Smth Brny,Upgrade,Neutral,Outperform,
24-Jul-02,RBC Capital Mkts,Upgrade,Sector Perform,Outperform,
1-May-02,Banc of America Sec,Initiated,,Buy,
19-Apr-02,First Albany,Upgrade,Buy,Strong Buy,
19-Apr-02,Merrill Lynch,Upgrade,NT Neutral,NT Buy,
4-Apr-02,AG Edwards,Upgrade,Hold,Buy,
18-Jan-02,Pacific Crest,Downgrade,Strong Buy,Buy,
7-Jan-02,ABN AMRO,Upgrade,Add,Buy,
6-Dec-01,FAC/Eqts First Albany,Initiated,,Buy,
21-Nov-01,Salomon Smth Brny,Downgrade,Outperform,Neutral,
17-Oct-01,AG Edwards,Downgrade,Buy,Hold,
10-Oct-01,SoundView Technology,Downgrade,Strong Buy,Buy,
4-Oct-01,AG Edwards,Downgrade,Strong Buy,Buy,
25-Sep-01,Deutsche Bc Alex. Br,Initiated,,Buy,
25-Sep-01,Bernstein,Initiated,,Outperform,
24-Sep-01,Thomas Weisel,Downgrade,Strong Buy,Buy,
20-Sep-01,Dain Rauscher Wessels,Initiated,,Buy,
3-Aug-01,McDonald Invst,Initiated,,Buy,
20-Jul-01,Salomon Smth Brny,Downgrade,Buy,Outperform,
12-Jul-01,Pacific Crest,Upgrade,Buy,Strong Buy,
12-Jul-01,CSFB,Upgrade,Buy,Strong Buy,
28-Jun-01,JP Morgan,Upgrade,LT Buy,Buy,
14-Jun-01,Prudential,Initiated,,Buy,
20-Apr-01,Goldman Sachs,Upgrade,Mkt Outperform,Recomm List,
20-Apr-01,Salomon Smth Brny,Upgrade,Outperform,Buy,
20-Apr-01,Thomas Weisel,Upgrade,Mkt Perform,Strong Buy,
21-Mar-01,Banc of America Sec,Initiated,,Mkt Perform,
9-Mar-01,WF Van Kasper,Downgrade,Strong Buy,Buy,
8-Feb-01,Merrill Lynch,Downgrade,LT Buy,LT Accum,
2-Feb-01,CSFB,Initiated,,Buy,
30-Jan-01,Pacific Crest,Initiated,,Buy,
15-Dec-00,Robertson Stephens,Downgrade,Buy,LT Attractive,
15-Dec-00,Dresdner Klnwrt Bnsn,Downgrade,Buy,Hold,
13-Dec-00,Prudential,Downgrade,Accumulate,Hold,
8-Dec-00,ING Barings,Downgrade,Strong Buy,Buy,
21-Nov-00,Dresdner Klnwrt Bnsn,Initiated,,Buy,
24-Oct-00,Salomon Smth Brny,Initiated,,Outperform,
4-Oct-00,Tucker Anthny Clry,Initiated,,Buy,
3-Oct-00,AG Edwards,Upgrade,Accumulate,Buy,
19-Jul-00,SG Cowen,Downgrade,Buy,Neutral,
19-Jul-00,Prudential,Downgrade,Strong Buy,Accumulate,
21-Jun-00,CIBC Wrld Mkts,Upgrade,Hold,Buy,
24-Apr-00,Thomas Weisel,Downgrade,Buy,Market Perform,
24-Apr-00,SG Cowen,Downgrade,Strong Buy,Buy,
24-Apr-00,Goldman Sachs,Downgrade,Recommended List,Market Outperform,
3-Apr-00,CIBC Wrld Mkts,Downgrade,Buy,Hold,
8-Mar-00,Deutsche Bc Alex. Br,Initiated,,Buy,
27-Jan-00,ING Barings,Initiated,,Strong Buy,
5-Jan-00,Prudential,Upgrade,Accumulate,Strong Buy,
8-Nov-99,Volpe Brown Whelan,Downgrade,Strong Buy,Buy,
29-Oct-99,CIBC Wrld Mkts,Initiated,,Buy,
20-Oct-99,SG Cowen,Upgrade,Buy,Strong Buy,
20-Oct-99,AG Edwards,Upgrade,Maintain Position,Accumulate,
20-Jul-99,Prudential,Upgrade,Hold,Accumulate,
26-May-99,Merrill Lynch,Initiated,,NT Acc/LT Buy,
26-May-99,Raymond James,Initiated,,Buy,
21-Apr-99,Prudential,Downgrade,Accumulate,Hold,
5-Apr-99,Advest Inc,Initiated,,Buy,
9-Mar-99,Cowen & Co,Downgrade,Strong Buy,Buy,
14-Jan-99,Prudential,Initiated,,Accumulate,
11-Dec-98,JP Morgan,Initiated,,Buy,
24-Jun-98,AG Edwards,Upgrade,Reduce,Maintain,
12-Jun-98,LaSalle Street Sec,Initiated,,Buy/Core,
19-May-98,DLJ,Initiated,,Buy,
23-Apr-98,EVEREN Sec.,Upgrade,Mkt Perform,Mkt Outperform,
